TWA/TWS;6;8;10;12;14;16;20;25;30;35
0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
32;1.32;1.57;1.75;1.88;1.95;2.00;2.08;2.13;2.16;2.17
35;2.92;3.47;3.85;4.12;4.29;4.40;4.57;4.68;4.74;4.76
38;4.24;5.04;5.60;6.00;6.24;6.40;6.64;6.79;6.88;6.91
41;4.93;5.86;6.51;6.98;7.25;7.44;7.72;7.89;8.00;8.03
45;5.19;6.17;6.86;7.35;7.64;7.84;8.13;8.31;8.42;8.46
49;5.27;6.27;6.96;7.46;7.76;7.96;8.26;8.45;8.56;8.60
52;5.30;6.30;7.00;7.50;7.80;8.00;8.30;8.49;8.60;8.64
60;5.50;6.60;7.40;7.90;8.20;8.40;8.70;8.89;9.00;9.04
75;5.80;6.90;7.70;8.20;8.50;8.70;9.00;9.19;9.30;9.34
90;5.70;6.80;7.70;8.30;8.60;8.80;9.10;9.29;9.40;9.44
105;5.30;6.50;7.50;8.20;8.60;8.90;9.30;9.55;9.70;9.75
120;5.00;6.20;7.20;7.90;8.30;8.70;9.20;9.51;9.70;9.76
135;4.30;5.50;6.50;7.30;7.90;8.30;8.90;9.28;9.50;9.57
150;3.50;4.70;5.80;6.70;7.40;7.90;8.60;9.04;9.30;9.39
165;3.00;4.00;5.00;5.90;6.70;7.40;8.20;8.70;9.00;9.10
180;2.80;3.70;4.60;5.50;6.30;7.00;7.90;8.46;8.80;8.91
