TWA\TWS;0;4;6;8;10;12;14;16;20;25;30;35;40;45;50;55;60
0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5;0.0;0.8;1.1;1.4;1.4;1.5;1.7;1.7;1.7;1.9;1.9;1.9;0.1;0.1;0.1;0.0;0.0
10;0.0;1.7;2.3;2.8;2.8;3.1;3.2;3.2;3.4;3.5;3.7;3.7;0.9;0.3;0.3;0.0;0.0
15;0.0;2.5;3.4;4.2;4.3;4.8;4.9;4.9;5.1;5.4;5.5;5.5;2.0;0.8;0.6;0.0;0.0
20;0.0;2.9;4.0;4.8;4.9;5.4;5.5;5.7;5.8;6.2;6.3;6.3;2.9;1.2;0.6;0.0;0.0
25;0.0;3.4;4.8;5.7;5.8;6.5;6.6;6.8;7.1;7.2;7.5;7.5;4.3;1.9;0.8;0.0;0.0
32;0.0;5.7;7.8;9.4;9.7;10.8;11.1;11.2;11.7;12.2;12.5;12.5;9.4;3.7;1.2;0.0;0.0
36;0.0;6.6;9.2;10.9;11.4;12.6;13.1;13.4;13.8;14.3;14.6;14.6;12.0;4.8;1.5;0.0;0.0
40;0.0;7.8;10.9;12.8;13.4;14.8;15.2;15.5;16.1;16.8;17.1;17.1;15.2;6.0;2.6;0.0;0.0
45;0.0;8.6;11.8;13.7;14.2;15.4;16.0;16.3;17.1;17.7;18.0;18.1;17.2;6.3;2.8;0.0;0.0
52;0.0;9.4;12.8;13.8;14.9;16.1;16.8;17.4;18.1;18.9;19.7;20.0;19.5;7.1;3.1;0.0;0.0
60;0.0;10.3;13.8;14.6;15.5;17.1;17.7;18.3;19.2;20.5;21.5;22.0;22.0;8.8;4.5;0.0;0.0
70;0.0;11.1;14.6;15.4;16.3;18.0;18.8;19.5;21.1;22.8;24.6;25.7;25.7;10.3;5.1;0.0;0.0
80;0.0;11.4;14.9;16.8;17.2;19.4;19.9;20.8;22.8;24.9;27.1;28.3;28.3;11.4;5.7;0.0;0.0
90;0.0;11.4;15.1;17.2;18.3;19.5;20.8;22.0;24.9;27.9;29.9;30.8;30.8;13.8;7.7;1.5;1.5
100;0.0;11.1;14.6;16.8;18.8;20.0;21.5;23.4;26.8;29.4;30.3;30.9;30.9;15.5;9.2;1.5;1.5
110;0.0;10.5;14.5;17.1;18.5;20.1;21.9;23.9;27.5;29.2;31.5;32.8;32.8;18.0;11.5;3.2;3.2
120;0.0;10.0;14.0;16.6;18.3;19.9;22.0;24.0;27.2;30.5;33.2;34.6;34.6;20.8;13.8;3.5;3.5
130;0.0;9.1;12.9;15.7;17.4;19.7;22.1;24.0;27.2;30.9;34.5;36.1;36.1;23.5;16.3;5.4;5.4
140;0.0;7.7;11.2;14.0;16.1;18.0;20.1;22.6;27.7;31.7;35.1;38.0;38.0;28.5;20.9;7.5;5.7
150;0.0;6.2;9.1;11.8;14.2;16.0;17.7;19.5;24.6;31.7;36.8;38.0;38.0;30.5;22.8;7.5;7.5
160;0.0;4.9;7.4;9.8;12.0;14.0;15.7;17.4;20.6;26.8;32.6;36.1;36.1;30.8;23.5;9.1;7.2
170;0.0;4.6;6.9;9.2;11.2;13.1;14.6;16.1;19.2;24.9;30.3;33.7;33.7;32.0;25.2;10.2;8.5
180;0.0;4.5;6.6;8.8;10.8;12.5;14.0;15.5;18.5;23.9;29.1;32.5;32.5;32.5;26.0;9.7;8.2
