TWA/TWS;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;0;0;0;0;0;0;0.01;0.02;0.03;0.04;0.04;0.04;0.04;0.04;0.05;0.06;0.065;0.07;0.075;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08
2;0;0;0;0;0;0;0;0.02;0.04;0.06;0.08;0.08;0.08;0.08;0.08;0.1;0.12;0.13;0.14;0.15;0.16;0.16;0.16;0.16;0.16;0.16;0.16;0.16;0.16;0.16;0.16;0.16;0.16;0.16;0.16;0.16;0.16;0.16;0.16;0.16;0.16
3;0;0;0;0;0;0;0;0.03;0.06;0.09;0.12;0.12;0.12;0.12;0.12;0.15;0.18;0.195;0.21;0.225;0.24;0.24;0.24;0.24;0.24;0.24;0.24;0.24;0.24;0.24;0.24;0.24;0.24;0.24;0.24;0.24;0.24;0.24;0.24;0.24;0.24
4;0;0;0;0;0;0;0;0.04;0.08;0.12;0.16;0.16;0.16;0.16;0.16;0.2;0.24;0.26;0.28;0.3;0.32;0.32;0.32;0.32;0.32;0.32;0.32;0.32;0.32;0.32;0.32;0.32;0.32;0.32;0.32;0.32;0.32;0.32;0.32;0.32;0.32
5;0;0;0;0;0;0;0;0.05;0.1;0.15;0.2;0.2;0.2;0.2;0.2;0.25;0.3;0.325;0.35;0.375;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4
6;0;0;0;0;0;0.01;0.02;0.07;0.12;0.19;0.26;0.26;0.26;0.26;0.26;0.31;0.36;0.385;0.41;0.435;0.46;0.464;0.468;0.472;0.476;0.48;0.48;0.48;0.48;0.48;0.48;0.48;0.48;0.48;0.48;0.48;0.48;0.48;0.48;0.48;0.48
7;0;0;0;0;0;0.02;0.04;0.09;0.14;0.23;0.32;0.32;0.32;0.32;0.32;0.37;0.42;0.445;0.47;0.495;0.52;0.528;0.536;0.544;0.552;0.56;0.56;0.56;0.56;0.56;0.56;0.56;0.56;0.56;0.56;0.56;0.56;0.56;0.56;0.56;0.56
8;0;0;0;0;0;0.03;0.06;0.11;0.16;0.27;0.38;0.38;0.38;0.38;0.38;0.43;0.48;0.505;0.53;0.555;0.58;0.592;0.604;0.616;0.628;0.64;0.64;0.64;0.64;0.64;0.64;0.64;0.64;0.64;0.64;0.64;0.64;0.64;0.64;0.64;0.64
9;0;0;0;0;0;0.04;0.08;0.13;0.18;0.31;0.44;0.44;0.44;0.44;0.44;0.49;0.54;0.565;0.59;0.615;0.64;0.656;0.672;0.688;0.704;0.72;0.72;0.72;0.72;0.72;0.72;0.72;0.72;0.72;0.72;0.72;0.72;0.72;0.72;0.72;0.72
10;0;0;0;0;0;0.05;0.1;0.15;0.2;0.35;0.5;0.5;0.5;0.5;0.5;0.55;0.6;0.625;0.65;0.675;0.7;0.72;0.74;0.76;0.78;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8
