TWA\TWS;5;10;15;20;25;30;35;40;45;50;55
0;0;0;0;0;0;0;0;0;0;0;0
5;0;0;0;0;0;0;0;0;0;0;0
10;0;0;0;0;0;0;0;0;0;0;0
15;0;0;0;0;0;0;0;0;0;0;0
20;0;0;0;0;0;0;0;0;0;0;0
25;0;0;0;0;0;0;0;0;0;0;0
30;0;0;0;0;0;0;0;0;0;0;0
35;3.83;7.07;9.74;10.62;10.80;10.89;10.34;7.08;5.99;5.23;4.57
40;3.98;7.47;10.58;11.61;11.79;11.88;11.29;7.72;6.53;5.71;4.99
45;4.32;8.06;11.70;13.10;13.41;13.59;12.91;8.84;7.47;6.53;5.71
50;4.66;8.64;12.83;14.58;15.03;15.30;14.54;9.95;8.42;7.34;6.43
55;4.98;9.45;14.36;16.52;17.06;17.37;16.51;11.29;9.56;8.34;7.30
60;5.28;10.26;15.89;18.45;19.08;19.44;18.47;12.64;10.69;9.33;8.16
65;5.47;11.07;17.15;19.98;20.79;21.24;20.18;13.81;11.68;10.20;8.92
70;5.66;11.88;18.41;21.51;22.50;23.04;21.89;14.98;12.67;11.06;9.68
75;5.93;12.87;20.10;23.22;24.03;24.39;23.81;16.30;13.79;12.03;10.53
80;6.19;13.86;21.78;24.21;24.66;24.84;24.21;17.61;14.90;13.01;11.38
85;6.39;14.63;22.95;24.48;24.66;24.75;24.39;17.91;15.16;13.23;11.57
90;6.58;15.39;24.30;24.75;24.75;24.80;24.48;18.21;15.41;13.45;11.76
95;6.65;15.71;24.48;24.92;24.84;24.84;24.48;18.21;15.41;13.45;11.76
100;6.73;16.02;24.66;24.75;24.92;24.89;24.48;18.21;15.41;13.45;11.76
105;6.70;15.98;24.57;24.57;24.80;24.92;24.48;18.21;15.41;13.45;11.76
110;6.65;15.93;24.39;24.39;24.62;24.66;24.39;18.21;15.41;13.45;11.76
115;6.51;15.62;24.12;24.30;24.39;24.48;24.30;18.21;15.41;13.45;11.76
120;6.35;15.30;23.85;24.48;24.66;24.84;24.21;18.21;15.41;13.45;11.76
125;6.19;14.94;23.49;24.21;24.48;24.66;24.12;18.20;15.40;13.44;11.75
130;6.03;14.58;23.22;23.94;24.30;24.48;23.94;18.21;15.41;13.45;11.76
135;5.76;14.18;22.68;23.58;24.03;24.30;23.76;18.18;15.38;13.42;11.74
140;5.49;13.77;22.14;23.22;23.76;24.03;23.49;18.16;15.35;13.40;11.72
145;5.35;13.37;21.69;22.77;23.40;23.76;23.22;18.14;15.35;13.40;11.72
150;5.20;12.96;21.24;22.32;22.95;23.31;22.86;18.14;15.35;13.39;11.72
155;4.86;12.15;19.98;21.24;22.32;22.77;22.41;17.81;15.08;13.16;11.51
160;4.52;11.34;18.81;20.52;21.69;22.23;21.78;17.49;14.81;12.92;11.30
165;3.97;10.13;17.10;18.90;20.52;21.06;20.61;16.46;13.93;12.15;10.64
170;3.42;8.91;15.39;17.28;18.90;19.44;19.08;15.44;13.07;11.39;9.97
175;3.15;8.24;14.22;16.02;17.46;18.00;17.64;14.58;12.29;10.70;9.37
180;2.88;7.56;13.05;14.85;16.29;16.83;16.47;13.73;11.50;10.02;8.76
